#! FIELDS phi psi metad.bias der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  242
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  93
#! SET periodic_psi true
   -3.141592654   -3.141592654   46.754065229   40.287118685  -13.676524230
   -3.115629078   -3.141592654   47.811054494   40.310377997  -13.711463785
   -3.089665502   -3.141592654   48.884329027   40.248943373  -13.716640413
   -3.063701927   -3.141592654   49.929259183   39.627055387  -13.808326183
   -3.037738351   -3.141592654   50.956529913   38.252544106  -13.981726882
   -3.011774775   -3.141592654   51.940642572   36.182566227  -14.125784492
   -2.985811200   -3.141592654   52.846157022   33.494890641  -14.287065894
   -2.959847624   -3.141592654   53.697299793   30.586149264  -14.445791516
   -2.933884048   -3.141592654   54.463959626   27.884665504  -14.504147987
   -2.907920473   -3.141592654   55.166651562   25.279758808  -14.553409704
   -2.881956897   -3.141592654   55.786913098   22.477092148  -14.582301941
   -2.855993321   -3.141592654   56.338271640   20.027146369  -14.674701045
   -2.830029746   -3.141592654   56.838032997   17.302662579  -14.701523541
   -2.804066170   -3.141592654   57.260244014   14.442866373  -14.866756370
   -2.778102594   -3.141592654   57.601802285   11.522749710  -15.103659690
   -2.752139019   -3.141592654   57.870415194    8.562681313  -15.362981703
   -2.726175443   -3.141592654   58.050565473    5.447750360  -15.693172978
   -2.700211868   -3.141592654   58.160151249    2.793851272  -15.969376965
   -2.674248292   -3.141592654   58.199710237    0.127604669  -16.214947492
   -2.648284716   -3.141592654   58.187434541   -1.970395046  -16.444033748
   -2.622321141   -3.141592654   58.109190437   -3.210759206  -16.627159526
   -2.596357565   -3.141592654   58.007355898   -4.078900291  -16.777058099
   -2.570393989   -3.141592654   57.909657727   -4.338059835  -16.828949880
   -2.544430414   -3.141592654   57.803935239   -4.143772195  -16.928686370
   -2.518466838   -3.141592654   57.699791206   -3.620983720  -17.028947679
   -2.492503262   -3.141592654   57.606396226   -3.420310167  -17.272990968
   -2.466539687   -3.141592654   57.521777081   -3.491904444  -17.490709668
   -2.440576111   -3.141592654   57.417976119   -4.028137727  -17.701810931
   -2.414612535   -3.141592654   57.291012064   -5.638990847  -17.993174655
   -2.388648960   -3.141592654   57.114332297   -7.537779383  -18.281632884
   -2.362685384   -3.141592654   56.892716560   -9.444810695  -18.458055979
   -2.336721808   -3.141592654   56.622662759  -11.126018033  -18.660140519
   -2.310758233   -3.141592654   56.311483541  -12.313994276  -18.779046425
   -2.284794657   -3.141592654   55.998917910  -12.572129282  -18.842957091
   -2.258831082   -3.141592654   55.674173479  -12.179209580  -18.817543684
   -2.232867506   -3.141592654   55.360644039  -11.222467138  -18.742692311
   -2.206903930   -3.141592654   55.078737368  -10.207839446  -18.596228331
   -2.180940355   -3.141592654   54.814643136   -9.472174924  -18.373611069
   -2.154976779   -3.141592654   54.572898633   -9.478511451  -18.266222649
   -2.129013203   -3.141592654   54.322305878  -10.307704686  -18.119683919
   -2.103049628   -3.141592654   54.040449083  -11.731262209  -18.110654060
   -2.077086052   -3.141592654   53.714408274  -13.455024822  -18.112707220
   -2.051122476   -3.141592654   53.341317664  -15.042147911  -18.334370201
   -2.025158901   -3.141592654   52.921215385  -16.057188571  -18.653188068
   -1.999195325   -3.141592654   52.506360108  -16.074261315  -19.098201476
   -1.973231749   -3.141592654   52.087627186  -15.312716883  -19.636323077
   -1.947268174   -3.141592654   51.700132079  -14.001552927  -20.244749658
   -1.921304598   -3.141592654   51.355400330  -12.139591402  -20.871497369
   -1.895341022   -3.141592654   51.070980686  -10.196540898  -21.423620495
   -1.869377447   -3.141592654   50.823522475   -8.447689749  -21.839309619
   -1.843413871   -3.141592654   50.624951088   -7.005401865  -22.102815821
   -1.817450295   -3.141592654   50.454718350   -6.078042245  -22.230481436
   -1.791486720   -3.141592654   50.315732059   -5.507907374  -22.213564436
   -1.765523144   -3.141592654   50.155108706   -5.489063007  -22.082127877
   -1.739559569   -3.141592654   50.003303776   -5.762512330  -21.882383257
   -1.713595993   -3.141592654   49.851395411   -6.059387505  -21.765922456
   -1.687632417   -3.141592654   49.698796414   -6.057626385  -21.780938572
   -1.661668842   -3.141592654   49.530380405   -5.526481029  -21.871517066
   -1.635705266   -3.141592654   49.388225586   -4.990006427  -22.131396717
   -1.609741690   -3.141592654   49.265663295   -4.076527515  -22.625145962
   -1.583778115   -3.141592654   49.172274075   -3.015018357  -23.161120497
   -1.557814539   -3.141592654   49.112817586   -1.763687619  -23.830612290
   -1.531850963   -3.141592654   49.087628095   -0.927716250  -24.527190494
   -1.505887388   -3.141592654   49.062734847   -0.687936379  -25.169586900
   -1.479923812   -3.141592654   49.031939374   -1.336912636  -25.861122908
   -1.453960236   -3.141592654   48.974331297   -3.203322005  -26.532880204
   -1.427996661   -3.141592654   48.851795093   -5.634453040  -27.184640292
   -1.402033085   -3.141592654   48.655373914   -8.499860769  -27.784440786
   -1.376069509   -3.141592654   48.390920484  -11.209268131  -28.370146403
   -1.350105934   -3.141592654   48.053586693  -13.627493894  -28.975030982
   -1.324142358   -3.141592654   47.663839662  -15.647435315  -29.613409151
   -1.298178782   -3.141592654   47.225841990  -17.758632112  -30.260636376
   -1.272215207   -3.141592654   46.745269368  -19.602935958  -31.064850443
   -1.246251631   -3.141592654   46.194460134  -21.629491553  -31.901168667
   -1.220288056   -3.141592654   45.590017724  -24.480956231  -32.889785833
   -1.194324480   -3.141592654   44.910359051  -28.188807147  -34.007893857
   -1.168360904   -3.141592654   44.109690893  -32.451548613  -35.116912074
